subject,sendings,opens,open_rate
"Thank you{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %}",64477108,17972995,0.278750018
"Your exclusive Photo Product offer awaits{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}",43081180,12210189,0.283422808
"Your exclusive Photo Product offer awaits{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %}",41786220,11060178,0.264684817
Huge sale on Acrylic Prints  – from £7.78!,27661060,7716586,0.27896928
Sunday Savings! Canvases and Home Decorations from £6.50!,23897214,6232485,0.260803833
Chocolate Advent Calendar with your photo | NEW!,23743861,6762358,0.284804481
"Thank you for your trust{% if contact.1 == '' %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% endif %} &#x2764;&#xfe0f;",23682301,6968240,0.294238301
Last chance: Canvas SALE + extra discount | Up to -86%,23201712,5857504,0.252459991
"&#x1f385;&#x1f3fc; A hidden secret discount for you{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %}",23096348,6682273,0.289321628
"&#x1f31f; Your code TK4AK9FL is waiting to be redeemed! Act now{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %}",22799425,6506828,0.28539439
Limited-time offer! Canvas Prints from £4.50,22303690,5317076,0.238394454
"Go big, save big: Unlock your exclusive size-based discount! &#x1f6cd;&#xfe0f; | Up to -30% EXTRA",22086394,6237471,0.282412376
