subject,sendings,opens,open_rate,wilson_score
"Herzlichen{% if contact.1 == '{{ contact.1 }} ' %}{% if contact.1 == true %} Glückwunsch, {{ contact.1 }} {% else %} Glückwunsch {% endif %}{% else %}{% if contact.1 == true %} Glückwunsch, {{ contact.1 }} {% else %} Glückwunsch {% endif %}{% endif %} – du hast gewonnen! &#x1f389;",542,432,0.79704797,0.7611513699478581
Highly discounted Canvas & Premium Prints,523843,352196,0.672331214,0.6710588980303953
Most popular formats highly reduced!,501382,336477,0.671099082,0.6697973138002598
Mega Sale: Gigantic Canvases for £22 each,527528,353574,0.670246887,0.6689769918388896
80% off giant Canvas Print!,529078,353562,0.668260635,0.6669906913494432
Big Canvas Print £20 + Premium Frame £15,503435,335341,0.666105853,0.6648018416935131
Lowest prices on our most popular products,577097,383072,0.663791356,0.6625714143653506
2 days: Up to -75% on 3 Canvases!,542587,356864,0.657708349,0.6564447224392318
XXL Canvas for only £22,84208,55539,0.659545411,0.6563375983318878
(48 hours) XXL Canvas only £22,555123,364124,0.65593391,0.654683115714806
"{% if contact.1 == '' %}{% if contact.5 == 1 %} {{ contact.1 }}, {% elseif contact.5 == 2 %} {{ contact.1 }}, {% else %} remember: {% endif %}{% else %}{% if contact.5 == 1 %} {{ contact.1 }}, {% elseif contact.5 == 2 %} {{ contact.1 }}, {% else %} Remember: {% endif %}{% endif %}your holiday photos deserve the big stage!",590966,385531,0.652374248,0.651159092134361
Two days - Canvas £12 - Mug £5 - Cushion £10,532129,335452,0.630396013,0.6290981276878048
80% off a giant Canvas Print!,61086,36815,0.602674917,0.5987879692988345
Save up to -84% on Wall and Home Décors &#x1f60d; ,9315,5418,0.581642512,0.5715931996967109
Wow! Photo Products starting from only $6.90!,6198,3588,0.578896418,0.5665591834035845
"You are one of our most loyal customers{% if contact.1 == '' %}!{% else %}, {{ contact.1 }}!{% endif %}",45696,26002,0.569021359,0.5644751865931522
Canvas £12 - Mug £5 - Cushion £10,60689,34380,0.566494752,0.5625479431797131
Wow! Photo Products starting from only $8.00!,2066,1196,0.578896418,0.5574787524502332
&#x1f973; Welcome to Our Redesigned Shop! ,17152,9600,0.559701493,0.5522595987746813
Unveiling our revamped look: Your exclusive $10 gift Inside! &#x2b50;,62118,34481,0.555088702,0.5511773185877373
Elevate your reading haven and save up to 81%,4856,2744,0.565074135,0.5510844436462345
&#x1f4b0; Take your chance! Discounts up to 86%!,41940,23270,0.554840248,0.5500789810990877
&#x23f0;Dont miss: Exclusive $ 10 gift Inside!,52035,28715,0.551840108,0.5475634512263367
Redesigned and ready for You: $10 savings on your next order! &#x1f4b3;,49860,27504,0.551624549,0.5472553519495363
&#x23f0;Dont miss: Exclusive $10 gift Inside!,41628,22972,0.551840108,0.5470581990802178
Last chance! Wall Decorations from $ 3.83 &#x23f0;,91990,50600,0.550059789,0.5468428603098223
&#x1f6a8; New sale: Canvases & Photo Gifts discounted by up to 79%!,8472,4720,0.557129367,0.5465284240721694
Last chance! Wall decorations from $ 3.83 &#x23f0;,57841,31808,0.549921336,0.5458636972161627
SALE almost over: last 3 days of discounts up to -89%! &#x26a0;&#xfe0f;,6554,3656,0.557827281,0.5457728877211208
&#x1f6a8; Wall Decorations up to 79% off!,6354,3540,0.557129367,0.5448847423764919
Massive sale on all Canvases - Until Saturday,4288,2400,0.559701493,0.5447959194188376
Women's Day Special: Unlock up to -84% discounts! &#x1f31f;,5285,2950,0.558183538,0.5447572303199522
&#x1f525; Exclusive offer: Wall and Home Décor from $6.80,108758,59371,0.545900072,0.542939415128926
&#x1f525; Exclusive offer: Wall and Home Décor starting from $6.90,75294,41103,0.545900072,0.5423414397462034
&#x1f525; Exclusive offer: Wall and Home Décor starting from $6.80,42863,23433,0.546695285,0.5419784709540599
&#x1f525; Exclusive offer: Wall and Home Décor starting from $8,50196,27402,0.545900072,0.5415410660489131
Celebrate the Womans Day - Canvas prints from $10.90 &#x1f339;,149904,81306,0.542387128,0.5398640261023153
Bestselling Wall Décors now on SALE! From $ 3.83 &#x1f389;,58457,31591,0.540414322,0.5363717688312312
She deserves the best: unwrap our Women's Day savings!&#x1f525;,5305,2910,0.548539114,0.5351173511514701
Your VIP invitation: $10 Off to explore our revamped look,5210,2855,0.547984645,0.5344397846154735
